,Unnamed: 0,Channel,total_views,total_subscribers,videos
429,29,English Language Olympics,82303,1280,75
430,30,Special Olympics USA,163977,1340,115
431,31,Special Olympics,12130852,1130000,1224
432,32,Special Olympics Österreich,91820,439,159
433,33,Olympics,9352770886,14800000,16204
434,34,Special Olympics Romania,66282,271,141
435,35,Special Olympics \\ Olympiques spéciaux : Canada,1486852,2920,809
436,36,AUS Olympic Team,1948398,6800,1455
437,37,Special Olympics Arizona,30679,393,169
438,38,Olympics,143123,150,23
439,39,Sango’s road to the Olympics,71522,86,54
440,40,Special Olympics IA,11294,126,105
441,41,Special Olympics Artistic Gymnastics,123095,472,70
442,42,Henry County Special Olympics,388,77,15
443,43,Olympic Overland,1703196,12900,32
444,44,IKA/Culinary Olympics,246054,2660,58
445,45,Salt Lake Stars - Special Olympics Utah,40547,102,74
446,46,Paris Olympics News,49172,106,126
447,47,Excel Olympics,505603,6760,56
448,48,Special Olympics Indiana,229201,449,149
449,49,Olympic City PIWC,164541,1150,296
450,0,Science Buddies,223980560,374000,934
451,1,Science'n'me,857134,4300,180
452,2,Science ABC,46698305,477000,128
453,3,PSW Science,1117685,13000,230
454,4,Science Mom,5325627,70300,307
455,5,Science Magazine,81324221,331000,834
456,6,Science Time,153895274,992000,557
457,7,Science with Susanna,11198694,141000,219
458,8,World Science Festival,233325684,1340000,1290
459,9,Domain of Science,63104558,1520000,64
460,10,Science With Tom,7492722,30900,152
461,11,Scientific American,48954566,343000,623
462,12,Science Grad School Coach,2741279,39400,329
463,13,Sick Science!,1682651416,2240000,798
464,14,Gross Science,41313502,335000,82
465,15,Science with Hazel,7864931,94700,825
466,16,The Sheekey Science Show,3147044,45600,294
467,17,Computer Science Lessons,18469623,229000,348
468,18,ScienceAtNASA,54308057,210000,450
469,19,Earth and Space Sciences X,12027806,63900,49
470,20,365 Data Science,15572464,338000,255
471,21,Passe-Science,4138574,86500,73
472,22,Tools of Science,204742,1610,8
473,23,PremedHQ Science Academy,6831707,82100,173
474,24,Bozeman Science,221223912,1400000,709
475,25,Science Simplified,3061714,33300,208
476,26,Subject Zero Science,30820881,381000,47
477,27,Discovery Science,38316473,259000,691
478,28,Horrible Science,199206,2870,117
479,29,Lab Muffin Beauty Science,60728228,688000,347
480,30,Because Science,164000024,1470000,353
481,31,Espace des sciences,59622023,226000,1187
482,32,d'Art of Science,13915979,102000,825
483,33,EKG Science,1118936,13700,72
484,34,Lammas Science,10044366,20100,960
485,35,Computer Science Center,12804881,164000,903
486,36,BBC Earth Science,243636229,1600000,1360
487,37,Science Channel,1288621710,5060000,2481
488,38,Nourished by Science,4211848,104000,36
489,39,The Science Asylum,71368567,708000,222
490,40,Verge Science,112532907,1140000,111
491,41,Kids Fun Science (Kids Fun Science),8999690,31400,379
492,42,Step by Step Science,33909523,215000,561
493,43,Science Olympiad TV,1457505,9330,183
494,44,Science Max - 9 Story,153943513,477000,544
495,45,Science IRL,481656,11400,60
496,46,Insider Science,880111696,3020000,649
497,47,MooMooMath and Science,162564389,545000,3348
498,48,Science Shorts,21507565,272000,430
499,49,Science Sauce,15376756,106000,111
